year,Yarış,Puan,Galibiyet,Podyum,Ortalama_Pozisyon
1950,5,21.0,0,4,3.875
1951,7,86.0,3,13,3.6956521739130435
1952,8,120.5,7,17,4.78125
1953,8,122.5,7,16,4.75
1954,8,80.28,2,14,4.0
1955,6,33.99,1,9,5.045454545454546
1956,7,82.0,6,14,3.5217391304347827
1957,7,48.0,0,7,4.5
1958,10,93.0,2,14,3.4285714285714284
1959,7,67.0,2,9,4.052631578947368
1960,8,43.0,1,5,5.684210526315789
1961,7,99.0,5,14,3.6
1962,6,30.0,0,4,6.0
1963,10,27.0,1,3,4.375
1964,10,64.0,3,10,4.0
1965,10,32.0,0,4,6.5
1966,7,42.0,2,6,2.875
1967,10,23.0,0,4,5.181818181818182
1968,11,37.0,1,5,4.0
1969,10,7.0,0,1,5.25
1970,13,76.0,4,9,4.294117647058823
1971,11,44.0,2,7,4.583333333333333
1972,12,47.0,1,6,6.3
1973,13,14.0,0,0,7.857142857142857
1974,15,90.0,3,12,3.789473684210526
1975,14,89.5,6,11,4.5
1976,15,99.0,6,13,4.5
1977,17,114.0,4,16,3.923076923076923
1978,16,65.0,5,9,5.954545454545454
1979,15,113.0,6,13,3.8
1980,14,8.0,0,0,8.823529411764707
1981,15,34.0,2,3,6.142857142857143
1982,16,74.0,3,11,4.235294117647059
1983,15,89.0,4,12,3.6
1984,16,57.5,1,8,4.85
1985,16,82.0,2,10,4.095238095238095
1986,16,37.0,0,5,5.882352941176471
1987,16,53.0,2,6,4.230769230769231
1988,16,65.0,1,8,5.476190476190476
1989,16,59.0,3,9,1.8888888888888888
1990,16,110.0,6,14,3.857142857142857
1991,16,55.5,0,8,4.176470588235294
1992,16,21.0,0,2,6.416666666666667
1993,16,28.0,0,3,6.5625
1994,16,71.0,1,11,4.0
1995,17,73.0,1,11,4.2
1996,16,70.0,3,9,3.6875
1997,17,102.0,5,13,4.583333333333333
1998,16,133.0,6,19,3.1923076923076925
1999,16,128.0,6,17,3.7857142857142856
2000,17,170.0,10,21,2.230769230769231
2001,17,179.0,9,24,2.689655172413793
2002,17,221.0,15,27,1.793103448275862
2003,16,158.0,8,16,3.576923076923077
2004,18,262.0,15,29,2.6176470588235294
2005,19,100.0,1,9,6.3
2006,18,201.0,9,19,3.5
2007,17,204.0,9,22,3.1333333333333333
2008,18,172.0,8,19,5.21875
2009,17,70.0,1,6,8.413793103448276
2010,19,396.0,5,15,5.833333333333333
2011,19,375.0,1,10,4.823529411764706
2012,20,400.0,3,15,5.702702702702703
2013,19,354.0,2,10,5.6
2014,19,216.0,0,2,7.3428571428571425
2015,19,428.0,3,16,3.96875
2016,21,398.0,0,11,4.382352941176471
2017,20,522.0,5,20,3.4857142857142858
2018,21,571.0,6,24,3.189189189189189
2019,21,504.0,3,19,4.657894736842105
2020,17,131.0,0,3,8.821428571428571
2021,22,322.5,0,5,6.5476190476190474
2022,22,519.0,4,20,3.4
2023,22,363.0,1,9,5.648648648648648
2024,24,595.0,5,22,4.355555555555555
